DENOM_CIA,ano,lucro_liquido,ativos_totais,ROA,pais
Canada Goose Holdings Inc,2022,94.6,1340.6,7.056541846934208,3
Centerra Gold Inc,2022,-77209.0,2335909.0,-3.3053085544000216,3
Precision Drilling Corporation,2022,-34293.0,2876123.0,-1.192334263868409,3
Paramount Resources Ltd,2022,680.6,4337.3,15.691789823161875,3
Vermilion Energy Inc,2022,1313062.0,6991058.0,18.78202126201785,3
Ero Copper Corp,2022,103067.0,1188076.0,8.67511842676731,3
Ero Copper Corp,2022,103067.0,392427.0,26.263993048388617,3
Enghouse Systems Limited,2022,94498.0,334498.0,28.250692081865957,3
Tourmaline Oil Corp,2022,4487049.0,18893041.0,23.749744681123595,3
Keyera Corp,2022,328294.0,8568188.0,3.831545246206082,3
